srno,address,AWB,names,sku
1,"1260, SY 35/4, SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",40834506264,Leah West,SKU_8
2,"82/3, Third Floor, Khata 866, Panathur Main Road, Bhoganahalli Cross, Marathahalli, Bangalore",81893229584,Ruben Thompson,SKU_90
3,"Embassy Tech Square Food Court, Cessna Tech Park, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",59723146139,Melva Little,SKU_86
4,"44, 3rd Cross, Marenahalli, 2nd Phase, JP Nagar, Bangalore",13550952423,Mary Kirk,SKU_129
5,"2617, 27th Main, Sector 1, Opposite CPWD Complex, HSR, Bangalore",37256804721,Johnny Blake,SKU_29
6,"493, 13th Cross, 2nd Stage, Behind BDA Complex, Indiranagar, Bangalore",98320322280,Kathryn Zuhlke,SKU_103
7,"2334, Aarush Arcade, 17th Cross, 1st Sector, HSR, Bangalore",64727690316,Charles Shelley,SKU_79
8,"1659, 27th Main Road, Sector 2, HSR Layout, HSR, Bangalore",33739970099,Monica Troxler,SKU_39
9,"31st Main, Near NIFT, Sector 1, HSR, Bangalore",70719650178,Barbara Baumberger,SKU_118
10,"19/4 & 27, Ground Floor, Indiqube Alpha, Panathur Junction, Kadubisanahalli, Sarjapur Outer Ring Road, Marathahalli, Bangalore",33192159992,Judy Epson,SKU_43
11,"322, Shalini Complex, CMH Road, Indiranagar, Bangalore",87348538617,Albert Rosol,SKU_28
12,"Ground Floor, Figure and Fitness Gym, ESI Hospital Road, Double Road, Stage 3, Indiranagar, Bangalore",90135330114,Raymond May,SKU_131
13,"844, Binnamangala, 1st Stage, Near B.D.A Complex, Double Road, Indiranagar, Bangalore",98618659069,Robert Davis,SKU_43
14,"3rd Cross, 2nd Stage, Domlur, Bangalore",37317986613,Karen Turner,SKU_106
15,"Shop 217, 2nd Main Road, Kadubeesanahalli Croma, Back Side Road, Near Kumbeshwara Temple Marathahalli, Bangalore",83760820881,Morris Delacruz,SKU_33
16,"68, Appareddy Palya, Near ESI Hospital, HAL 2nd Stage, Double Road, Indiranagar, Bangalore",19222028019,Russell Repp,SKU_47
17,"89/1, Monnekollal Village, Varthur Hobli, Outer Ring Road, Marathahalli, Bangalore",35278429230,Anna Parsons,SKU_11
18,"Outer Ring Road, Opposite to JP Morgan, Kodbisanhalli, Marathahalli, Bangalore",85641566876,Antwan Howell,SKU_65
19,"2318, Sector 1, Near NIFT College, HSR, Bangalore",44350146864,Ruth Donaldson,SKU_80
20,"697, 12th Cross, 27th Main, 1st Sector, HSR, Bangalore",35688482050,Cecilia Henderson,SKU_88
21,"1260 SY 35/4 SJR Tower's, 24th Main Puttanhalli, JP Nagar 7th Phase, Bangalore",75730852176,Jonathan Nelson,SKU_103
23,"915, 24th Main Road, 2nd Phase, Mayura Circle, JP Nagar, Bangalore",65256560203,David Finn,SKU_148
